record_id,title,authors,year,venue,doi_or_id,Topology & HW Profile,Challenges,Signal Processing & Targeting Capabilities,Metrics & Evaluation,Solutions / Innovations,"Wavelength (λ,nm)",Range & Environment,Channel Impairment Focus,Turbulence Parameters (numeric only),Phase Retrieval / Channel Estimation,Beam Quality Metrics (numeric only),ISAC Coupling & Metrics,Hardware Maturity & Safety/Power,Evaluation Setup Notes,Risk of Bias,Normalization Notes,Anchor (p./Fig./Sec.),Notes,,,,,,,,,,,,,,,,,,,,,,
rec_00559,"Reconfigurable Intelligent Surface-Based Wireless Communications: Antenna Design, Prototyping, and Experimental Results",Linglong Dai; Bichai Wang; Min Wang; Xue Yang; Jingbo Tan; Shuangkaisheng Bi; Shenheng Xu; Fan Yang; Zhi Chen; Marco Di Renzo; Chan-Byoung Chae; Lajos Hanzo,2020,IEEE Access,10.1109/ACCESS.2020.2977772,RIS-based prototype: 256 (16×16) 2-bit elements; hosts + USRPs + RIS; RIS beamforming at Tx/Rx. [C7],Phased arrays: high power/cost; 1-bit quantization causes >3 dB gain loss; feeding network power loss. [C8] [C14],RIS combines phase-shift and radiation; PIN-diode 2-bit phase states; real-time beamforming; OFDM; channel coding; synchronization; channel estimation. [C9],Antenna gains; EIRP; radiation patterns; BER/data rate; power reduction by 58.6%. [C10],"High-gain, low-cost 256-element 2-bit RIS; first wireless comm prototype; 5 PIN diodes per element. [C11]",,"2.3 GHz and 28.5 GHz; OTA indoor, Tx–Rx distance 20 m; compact anechoic chamber measurements. [C12] [C13]",Phase quantization errors; feeding network losses. [C14],,Receiver USRP performs timing/frequency sync and channel estimation using pilots. [C16],21.7; 19.1; 31.3; 350; -16.7; -16.4 [C17],(Not ISAC) Communication-only prototype. [C18],Fabricated 16×16 2-bit RIS; SMP1340-040LF PIN diodes; power consumption reduced 58.6%; EIRP 51.7 dBm. [C19] [C10],Experimental prototype with USRPs; OFDM (LTE); real-time VR video transmission; OTA and chamber tests. [C20],,2-bit provides four quantized phase states. [C22],"[C7] “RIS… 256 elements… hosts, USRPs… for transmission and reception.” [C8] “excessive power consumption… 1-bit… >3 dB antenna gain reduction.” [C9] “2-bit phase shifting… real-time beamforming… OFDM… channel estimation.” [C10] “21.7 dBi… 19.1 dBi… reduce power by 58.6%… 51.7 dBm EIRP.” [C11] “256 elements… 2-bit… prototype… 5 PIN diodes.” [C12] “2.3 GHz… 28.5 GHz.” [C13] “OTA… indoor… distance 20 meters.” [C14] “phase errors… feeding networks.” [C16] “Timing/frequency synchronization and channel estimation.” [C19] “16×16… two‑bit elements… power consumption reduced 58.6%.” [C20] “experimental evaluation… USRPs… real‑time VR video.” [C22] “2‑bit… four quantized phase states.”","End-to-end RIS prototype with measured gains and EIRP; communications-only, no ISAC sensing.",,,,,,,,,,,,,,,,,,,,,,
rec_00560,Dual Target-Mounted RISs-Assisted ISAC Against Eavesdropping and Malicious Interference,Zehra Yigit; Sefa Kayraklik; Ertugrul Basar; Ali Gorcin,2025,JOURNAL OF LATEX CLASS FILES (via arXiv),arXiv:2509.02030v1,"Dual target-mounted RIS ISAC: BS (ULA, T_x); K users; 2 UAV targets; legit UAV has RIS (N_L, UPA); eavesdrop UAV has malicious RIS (N_M, UPA). [C7]",Eavesdropping by hostile UAV; random interference by malicious RIS; non-convex secrecy-rate problem. [C8],BS senses two UAVs; communicates via legit RIS; optimize BS beamforming and legit RIS phases (two-stage). [C9],"Secrecy rate (comm); sensing SINR of UAVs; CRB for AoD of eavesdropper; multiple curves vs P_T,N_L,N_M. [C10]",Dual target-mounted RIS scheme; legit RIS defends while malicious RIS attacks; SDR-based two-stage optimization. [C11],,"f_c=3.5 GHz; d_L=32.4 m; d_E=58.7 m; L-RIS→Users ≈10–11 m; M-RIS→Users ≈32–36 m; heights: BS 5 m, UAVs 10 m. [C12] [C13]",Eavesdropping; malicious RIS interference; Rician fading (RIS links); LoS BS–UAV. [C14],,CRB derived from Fisher Information Matrix for AoD estimation of eavesdrop UAV. [C22],,Unified signal x(t)=W_c x_c + W_s x_s; maximize sum secrecy rate; sensing metrics SINR γ_i and CRB(AoD). [C18],"Both RISs passive; T_x=8; K=4; N_L=144; N_M∈{36,49,144,256}; P_T∈[0,12] dBW. [C19]",Monte Carlo sims; SDR two-stage; CVX; compared to benchmark (no malicious RIS). [C20],,"Rician factor κ=4 dB; path-loss exponent 2.2; secrecy rate S_R,k=[R_k−R_E,k]^+. [C22]","[C7] “Dual target-mounted RISs… BS… T_x… K… two UAV targets… legit RIS N_L… malicious RIS N_M.” [C8] “dual security threats… eavesdropping… random interference… non-convex.” [C9] “BS performs sensing… communicates… optimize… beamforming… phase shifts.” [C10] “secrecy rate… sensing SINR… CRB (AoD).” [C12] “f_c 3.5 GHz.” [C13] “d_L 32.4 m… d_E 58.7 m… heights 5 m/10 m.” [C14] “Rician fading… LoS links… BS and UAVs.” [C18] “x(t)=W_c x_c(t)+W_s x_s(t)… maximize S_R… SINR… CRB.” [C19] “Both RISs are passive… T_x=8… K=4… N_L=144… N_M set… P_T.” [C20] “Monte Carlo simulations… SDR… CVX… benchmark [24].” [C22] “κ=4 dB… S_R,k=[R_k−R_E,k]^+… CRB from FIM.”",Security-centric ISAC with legit and malicious target-mounted RISs; SDR-based defense/optimization.,,,,,,,,,,,,,,,,,,,,,,
rec_00561,Double-Sided Beamforming in OWC Systems Using Omni-Digital Reconfigurable Intelligent Surfaces,Alain R. Ndjiongue; Telex M. N. Ngatched; Octavia A. Dobre; Harald Haas,2022,arXiv,arXiv:2203.03781v1,"Omni-digital RIS for OWC/VLC; elements can reflect, refract, both, or off; indoor VLC example with 8 users split by wall. [C7]",Conventional RIS half-space limitation creates blind/dead zones; need serving users on both sides. [C8],Double-sided beamforming; digital control of material elements; coding structure with function/phase/transition bits; 3D steering. [C9],Achievable rate vs bits-per-phase k and number of elements N (Fig.5–6). [C10],Introduces omni-DRIS (digital STAR+DRIS); coding structure for 4 states; metamaterials (LCs) discussion. [C11],,Optical wireless / indoor VLC; omni-DRIS mounted on separating wall in room (design example). [C12] [C13],Coverage gaps: skip/dead/blind zones. [C14],,,,ISAC mentioned as future direction; this work is communication-only. [C18],"Conceptual; metamaterials (LCs, plasmonics, two-state); LC metasurfaces reflective or transmissive. [C19]",Achievable-rate simulations; indoor design example; code structure illustrated. [C20],,"Defines k (bits/phase), N (elements), and 2^k active elements. [C22]",[C7] “omni-digital-RISs… OWC… reflectors and refractive elements… indoor VLC design example.” [C8] “RIS creates a blind spot.” [C9] “Double-Sided Beamforming… coding structure… 3D angles.” [C10] “achievable rate… number of elements… bits per phase shift.” [C11] “combines STAR-RIS and DRIS… four possible states.” [C12] “OWC… VLC.” [C13] “omni-DRIS is part of the separating wall.” [C14] “solve the skip zone problem.” [C18] “ISAC… future research; communication-only.” [C19] “Liquid crystals… reflective… or transmissive.” [C20] “achievable rate… Fig.5… Fig.6.” [C22] “k refers to bits; N; 2^k elements.”,Digital omni-DRIS concept enabling double-sided VLC beamforming; ISAC only suggested as future work.,,,,,,,,,,,,,,,,,,,,,,
rec_00562,Multiple Active STAR-RIS-Assisted Secure Integrated Sensing and Communication via Cooperative Beamforming,Hyeonho Noh; Hyeonsu Lyu; Hyun Jong Yang,2025,arXiv,arXiv:2507.18035v1,"ISAC with multiple active STAR-RISs; BS (ULA, N Tx); K single-antenna users; L STAR-RISs (UPA, M T&R); one sensing target. [C7]",Highly non-convex; LoS blockages in NLoS; mutual interference; multi-hop fading; security via eavesdropping target. [C8],Joint optimization of BS beamformer and STAR-RIS T&R; downlink to users; concurrent target interrogation; echo at BS. [C9],Maximize aggregate sum-rate; constraints on sensing SINR and leakage SINR; multiple tradeoff curves. [C10],Cooperative multi–active STAR-RIS secure ISAC; AO framework; BS by KKT; STAR-RIS by SCA/SDR; dedicated sensing beamformer. [C11],,"NLoS; BS (0,0,25) m; three STAR-RISs (10,0,0),(20,0,0),(30,0,0) m; K=6 users; target (32,0,0) m. [C13]",LoS blockages; multi-hop fading; all channels Rician. [C14],,Rician channel model (Appx. A); SINR definitions for comm/sensing/eavesdrop. [C22],,"ISAC signal x=Σ w_k c_k + w_S s; maximize sum-rate s.t. γ_S, γ_{e,k} constraints. [C18]","Active STAR-RIS amplifies; total power constraints P_BS,max and P_A,l,max; P_BS≈30 dB; N=20; L=3; M=64. [C19]","Simulations; baselines: passive-RIS and single STAR-RIS; 40% BS, 60% RISs; Rician factor 3 dB. [C20]",,Rician modeling and SINR definitions summarized. [C22],"[C7] “ISAC network… multiple active… STAR-RISs.” [C8] “highly non-convex… LoS blockages… multi-hop fading… security issues.” [C9] “jointly optimize… BS… and STAR-RIS… echo… BS.” [C10] “maximize… sum-rate… sensing SINR… leakage.” [C11] “cooperative… AO… KKT… SCA… SDR… w_S s.” [C13] “BS (0,0,25)… three STAR-RISs… target (32,0,0).” [C14] “all channels follow Rician fading.” [C18] “x = Σ w_k c_k + w_S s… constraints.” [C19] “Active RIS… total power constraints… N 20… L 3… M 64.” [C20] “simulations… passive-RIS and single STAR-RIS… 40%/60%.” [C22] “Rician channel modeling… γ_k, γ_S, γ_{e,k}.”",Cooperative multi–active STAR-RIS design for secure ISAC with AO/KKT/SCA-SDR.,,,,,,,,,,,,,,,,,,,,,,
rec_00564,DRL-Based Joint Trajectory Planning and Beamforming Optimization in Aerial RIS-Assisted ISAC System,Xipeng Chen; Xiaowen Cao; Lifeng Xie; Yejun He,2024,2024 IEEE International Workshop on Radio Frequency and Antenna Technologies (iWRF&AT),10.1109/iWRFAT61200.2024.10594249,ARIS-assisted ISAC downlink; ISAC BS with M Tx/Rx; K single-antenna users (blocked and unblocked); J targets; passive RIS (N) on UAV.,"Coupled variables (beamforming, RIS phase, UAV trajectory); non-convexity; dynamic channel due to UAV mobility.","Joint optimization of {w_k,t^c, w_j,t^s}, RIS phase Φ_t, and UAV trajectory q_t; sensing via echo signal.","Max–min communication rate objective; radar SNR constraint γ_{j,t}^{sen} ≥ γ_{th}^{sen}.","DRL-based solution (PPO); reformulation as MDP; benchmarks: fixed trajectory, MRT, random RIS, fixed RIS.",,"2D area 100×100 m^2; UAV altitude 50 m; BS at (30,100) m; UAV start (50,30) m; K=4 (1 blocked); J=2.","Blockage; Rician model with β_BA=∞, β_BU=0, β_BT=0, β_AU=10, β_AT=10.",,State includes UAV position and channel gains |H_t|^2; channel invariant within a slot.,,"x_t = W_t^c s_t^c + W_t^s s_t^s; min_k Υ_{k,t} over T; radar SNR ≥ threshold.",P_max^BS = 10 W; v_max = 10 m/s; e_max^UAV = 39 dB; M=2–6; N=16.,Simulation; Smooth reward vs. episode; rate vs. power; rate vs. BS antenna number.,,Path-loss C0 = -30 dB at d0 = 1 m.,"[C7] ""RIS... mounted on an unmanned aerial vehicle (UAV)""; [C8] ""communication rate max-min problem""; [C18] ""x_t = W_t^c s_t^c + W_t^s s_t^s""; [C19] ""v_max (10 m/s)""; [C22] ""C0 = -30 dB... d0=1 m""; [C13] ""UAV flies... fixed height 50 m... area 100×100 m^2"".","Benchmarks: fixed traj., MRT, random/fixed RIS.",,,,,,,,,,,,,,,,,,,,,,
rec_00566,Sensing Safety Analysis for Vehicular Networks with Integrated Sensing and Communication (ISAC),Tingyu Shui; Walid Saad; Mingzhe Chen,2025,arXiv,arXiv:2505.01688v2,"mmWave ISAC RSU (FD ULA, N_t, N_r); single-antenna vehicle user (target); malicious RIS (ULA, M) at fixed location.","Sensing safety under adversarial spoofing: RIS manipulates echo delay, Doppler shift μ_V, and AoD θ_V.","RSU estimates τ_V, μ_V via matched filtering C(τ,μ) and AoD via MLE p(ŷ_E|θ_V).",Spoofed velocity range vs. M; AoD estimation error up to 65°; feasible spoofing frequency set.,Time-varying RIS phase ϕ_m(t) to spoof Doppler; adjustable-delay RIS aligns echoes |τ_V−τ_R|<τ_0; analysis of AoD MLE impact.,,"2D Cartesian; RSU at origin; VU at (40cosθ_V,40sinθ_V) m with θ_V=135°; RIS at (30cosθ_R,30sinθ_R) m with θ_R=90°.",Adversarial spoofing; beam misalignment 5° considered; mmWave path loss/noise.,,Matched filtering and MLE-based AoD estimation.,,"ISAC RSU performs downlink comms and sensing; focus on sensing safety metrics (errors in τ̂_V, μ̂_V, θ̂_V).",N_t=N_r=32; M=32; P=30 dBm; σ^2=−130 dBm; ΔT=1 ms; f_c=28 GHz.,Simulation validating theory; v=10 m/s; AoD estimated over 2000 trials; feasible regions visualized.,,s(t)s*(t)=1; half-wavelength antenna spacing.,"[C8] ""malicious... RIS... compromise the sensing functionality""; [C16] ""matched-filtering output... C(τ, μ)""; [C10] ""spoofed velocity... 0.1 m/s to 14.9 m/s""; [C20] ""Simulation results""; [C22] ""s(t)s^{*}(t)=1""; [C12] ""millimeter wave (mmWave) f_c=28 GHz"".",Attacker model uses adjustable-delay RIS; fixed RIS location (practical).,,,,,,,,,,,,,,,,,,,,,,
rec_00567,STAR-RIS Aided Secure Integrated Sensing and Communication,Xuerong Zhao; Yongkang Wang; Jiahui Hao; Zhe Sun; Gonghao Cui; Yunhui Yi,2025,2025 8th World Conference on Computing and Communication Technologies (WCCCT),10.1109/WCCCT65447.2025.11027959,"ISAC BS (ULA, M) with STAR-RIS (UPA, N) enabling reflection space R (target/Eve) and transmission space T (user). Single-antenna user and eavesdropper.",Risk of information leakage since sensing waveform carries data; target acts as potential eavesdropper; non-convex joint design; fading.,BS performs target detection via STAR-RIS while sending data; AN injected to jam Eve; joint BS/STAR beam designs.,Maximize secrecy capacity C_S=[C_UE−C_Eve]^+; constrain beampattern gain P_s≥k_s towards target.,Reference points-based evolutionary algorithm (RPEA) vs PSO/OFA; integrates AN for secrecy; joint optimization.,,"Coordinates: STAR-RIS [0,0,0] m; BS [20,30,5] m; User [−65,−30,5] m; target/Eve in random spheres.",Rician fading with K=3; general channel fading concerns.,,,,Dual-functional transmit x = w_c s_c + v_j z_j; secrecy capacity and sensing beampattern constraints jointly.,M=10; N=32; P_t=30 dBm; bandwidth 80 MHz; noise −174 dBm/Hz.,"2000 Monte Carlo runs; compares RPEA, PSO, OFA; also STAR-only and BS-only baselines.",,(β_n^T)^2 + (β_n^R)^2 = 1; half-wavelength spacing.,"[C7] ""STAR-RIS assisted ISAC system""; [C10] ""maximize the user secrecy capacity"" and ""P_s ≥ k_s""; [C11] ""reference points-based evolutionary algorithm (RPEA)""; [C13] coordinates; [C19] M=10, N=32, P_t=30 dBm; [C20] ""2,000 Monte Carlo""; [C22] ""(β_n^T)^2 + (β_n^R)^2 = 1"".",Assumes perfect CSI in evaluation section.,,,,,,,,,,,,,,,,,,,,,,
rec_00568,Beamforming Design for Active IRS-Aided MIMO Integrated Sensing and Communication Systems,Jin Li; Gui Zhou; Tantao Gong; Nan Liu,2023,IEEE Wireless Communications Letters,10.1109/LWC.2023.3294537,"DFRC BS (ULA, N_T Tx, N_R Rx); single-antenna comm user; point target; active IRS (ULA, M elements with amplifiers).",Product attenuation over BS–IRS–target–IRS–BS and BS–IRS–user; high path loss; blocked BS–target link; highly coupled nonconvex design.,Target sensed via reflected link; user served by direct+IRS links; AO across BS beam and IRS coefficients.,Maximize IRS beampattern toward target angle; QoS rate constraint R ≥ r; beampattern vs. r and vs. M.,Active IRS with amplification; AO framework; MM for BS beamforming; SDR + Gaussian randomization for IRS coefficients.,,"Locations: BS (0,0), active IRS (50,10), user (80,0); direct BS–target blocked by obstacle.","Product attenuation; blockage; Rician fading (BS–user, IRS–user); LoS (BS–IRS); path loss exponents 2.5, 3.5.",,Perfect CSI at BS (assumed).,,Dual-functional beamforming x = w s; sensing via IRS beampattern; comm QoS R ≥ r.,N_T=N_R=8; M=32; P_0=30 dBm; P_1=20 dBm; p_max 20–60 dB; σ^2=−80 dBm.,"Numerical simulations; compares Act., Pas., Act. SO, Act. SDR baselines.",,"Element spacing d = λ/2; Rician factor 0.5; path loss exponents 2.5, 3.5.","[C8] ""product attenuation... BS-IRS-target-IRS-BS"" and ""direct link is blocked""; [C11] ""active IRS with amplifiers""; [C13] geometry (0,0),(50,10),(80,0); [C19] N_T=N_R=8, M=32, P_0=30 dBm, P_1=20 dBm; [C22] d=λ/2; [C20] ""numerical results"".",Beampattern maximization subject to comm QoS.,,,,,,,,,,,,,,,,,,,,,,
rec_00570,Multipath Exploitation for Fluctuating Target Detection in RIS-Assisted ISAC Systems,Shoushuo Zhang; Zichao Xiao; Rang Liu; Ming Li; Wei Wang; Qian Liu,2024,IEEE Wireless Communications Letters,10.1109/LWC.2024.3416453,RIS-assisted ISAC; BS with M Tx/Rx; K single-antenna users; one fluctuating target; one N-element passive RIS. [C7],Multipath propagation; fluctuating target RCS (Swerling I); non-convex formulation. [C8],Joint design of dual-functional BS beamforming W and RIS reflection Φ to exploit spatial diversity; target detection via direct and RIS-reflected echoes. [C9],Maximize expectation of radar SNR; comm QoS SINR γ_k≥Γ_k; Radar SNR vs RCS variance; Radar SNR vs N; ROC (Pd vs Pfa). [C10],Use RIS to provide controllable multipath; alternating optimization with MM and ADMM. [C11],,Urban; distances: BS–target 50 m; BS–RIS 40 m; BS–users 36 m; RIS–target 25 m; RIS–user 3 m. [C13],Multipath exploitation; fluctuating RCS (Swerling I); Rician fading (β_BR=5 dB; β_Bt→∞; others 0 dB). [C14],,Assumes predictable target relative delay τ; orthogonality of multipath components proved. [C16],,x[l]=W_c s_c[l]+W_r s_r[l]; sensing objective E[SNR_radar]; comm constraint γ_k≥Γ_k. [C18],"Total power budget P∈{20,30} W; noise σ_z^2=σ_k^2=−80 dBm; N∈{64,81,100}; L=64 slots; τ=16 samples. [C19]",Simulation; baselines: without RIS and random RIS. [C20],Simulation-only; specific channel model assumptions (Rician factors) and predictable τ. [C21],"Path-loss exponents α_BR=2.0, α_RU=2.4, α_BU=2.7; orthogonality proof provided. [C22]","[C7] “RIS-assisted ISAC… N-element passive RIS.” [C8] “Fluctuating target RCS; non-convex.” [C9] “Jointly design W and Φ… multipath echoes.” [C10] “Maximize expected radar SNR; SINR constraints; ROC.” [C11] “RIS provides controllable multipath; AO with MM, ADMM.” [C13] “BS-target 50 m; BS-RIS 40 m; … RIS-user 3 m.” [C14] “Swerling I; Rician β_BR 5 dB; others 0 dB.” [C16] “Target delay τ predictable; orthogonality shown.” [C18] “x[l]=W_c s_c[l]+W_r s_r[l].” [C19] “P=20/30 W; N=64–100; noise −80 dBm.” [C20] “Simulation vs W/o RIS, Random RIS.” [C22] “α_BR=2.0; α_RU=2.4; α_BU=2.7.”",RIS exploits multipath diversity to stabilize detection against fluctuating RCS.,,,,,,,,,,,,,,,,,,,,,,
rec_00571,STAR-RIS-enabled anti-Jamming Design for Secure Integrated Sensing and Communication Systems,Zhongyi Xie; Hongyi Bian; Yu Yao; Zhe Zhang; Feng Shu,2024,WCSP 2024,10.1109/WCSP62071.2024.10826880,"STAR-RIS-enabled ISAC; BS ULA N=8; STAR-RIS UPA with M (passive, ES mode); one transmission user; K=2 reflection users; malicious jammer (N_J=6) in reflection region; no direct links. [C7]",Jammer interferes with comms and is the sensing target; non-convex coupled variables. [C8],Joint BS active BF and STAR-RIS passive BF; BS senses jammer by estimating response matrix H_TRM; derives CRB. [C9],"Maximize transmission-user rate R_t subject to reflection-user rates R_{r,k}≥γ_k and CRB(H_TRM)≤ε; AR vs jammer/BS power. [C10]","Anti-jamming design where jammer is the extended sensing target; AO, FP, and SDR used. [C11]",,"BS (−25,20,0) m; STAR-RIS (0,0,0); jammer (−60,−40,0); Tx user (3,−3,0); reflection users (−10,−8,0), (−9,−8,0); no direct links. [C13]",Malicious jammer interference; Rician fading with 3 dB factor. [C14],,CRB for estimating H_TRM is derived and constrained. [C16],,Use only comm signals x(t)=w c(t)+Σ v_k p_k(t); joint comm rate and sensing CRB constraints. [C18],"BS N=8; STAR-RIS M∈{6,8,10}; BS P_T 20–30 dB; jammer power 0.1–1.0 W; noise −90 dBm; ε=0.01. [C19]",Simulation verifies feasibility of AO-based algorithm. [C20],Simulation-only; assumes no direct links and ES mode ideality. [C21],"Energy splitting β_{t,m}+β_{r,m}=1; path-loss exponent 2.2; path loss at 1 m is 20 dB. [C22]","[C7] “STAR-RIS; N=8 BS; jammer N_J=6; no direct links.” [C8] “Jammer both attacker and sensing target.” [C9] “Estimate H_TRM; derive CRB.” [C10] “Max R_t with R_{r,k} and CRB constraints.” [C11] “AO, FP, SDR.” [C13] “Scenario coordinates listed.” [C14] “Rician factor 3 dB.” [C16] “CRB(H_TRM) constraint.” [C18] “x(t)=w c(t)+Σ v_k p_k(t).” [C19] “M=6/8/10; P_T 20–30 dB; P_J 0.1–1.0 W.” [C20] “Feasibility verified in sim.” [C22] “β_t+β_r=1; PL@1 m=20 dB.”",Secure anti-jamming ISAC; the jammer is explicitly modeled as an extended target.,,,,,,,,,,,,,,,,,,,,,,
rec_00572,IRS-Aided Location Sensing and Beamforming in ISAC Systems: Distributed or Not?,Shuyang Lyu; Xiaoling Hu; Chenxi Liu; Mugen Peng,2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3391941,Distributed IRS-aided mmWave ISAC; BS N-element ULA; single-antenna user; L IRSs: L1 passive (PIRS) and L2 semi-passive (SIRS). Direct BS–user link blocked. [C7],Blockage and high path loss at mmWave; high beamforming overhead across multiple IRSs; distributed vs centralized deployment study. [C8],"DB-ISAC: SIRSs receive uplink signals for localization (AoA via MUSIC/ESPRIT, coarse+fine); centroid localization; EDA-based distributed-IRS beamforming. [C9]","Location RMSE (millimeter-level); average achievable rates (R̄_ISAC, R̄_PC); R̄–RMSE trade-off and sensitivities vs ρ_0 and M_1. [C10]",Two-stage protocol (ISAC stage + PC stage); mixed PIRS/SIRS distributed framework; sensing-aided EDA beamforming. [C11],,"mmWave; BS-user distance 50 m; user–IRS distance 10 m; heights: BS 20 m, IRS l+1 m, user 0 m. [C13]",Blockage; high path loss; mmWave LoS channel model. [C14],,Avoid cascaded-channel estimation; SIRSs estimate AoA pairs and channel phase differences Δ_i from uplink signals. [C16],,"Uplink comm signals reused for sensing; sensed locations drive beamforming; metrics: RMSE for sensing, R̄ for comm. [C18]",BS N=4; one PIRS M1=16×16=256; three SIRSs total M_se=120; user power ρ_0=20 dBm; noise −80 dBm. [C19],Simulation; compares sensing-aided EDA BF to AO BF (perfect CSI) and Random BF; varies L2 and L1. [C20],mmWave LoS modeling and perfect-CSI baselines; simulation-only. [C21],Path loss C0=30 dB at 1 m; exponents 2.3/2.2/2.1; EDA beamforming details. [C22],[C7] “Distributed IRS with PIRS and SIRS; BS–user blocked.” [C8] “High path loss; overhead; distributed vs centralized.” [C9] “MUSIC/ESPRIT AoA at SIRS; centroid; EDA BF.” [C10] “RMSE millimeter-level; R̄ vs RMSE trade-off.” [C11] “Two-stage ISAC+PC protocol.” [C13] “d_U2B=50 m; d_U2I=10 m; heights given.” [C14] “mmWave LoS model.” [C16] “Avoid cascaded CE; estimate AoA pairs and Δ_i.” [C18] “Uplink reused for sensing.” [C19] “N=4; M1=256; M_se=120; ρ_0=20 dBm.” [C20] “EDA vs AO vs Random.” [C22] “C0=30 dB; PL exponents.”,Distributed mixed PIRS/SIRS design enabling localization-aided beamforming under blockage.,,,,,,,,,,,,,,,,,,,,,,
rec_00574,Robust and Secure Beamforming Design for STAR-RIS-Enabled IoE ISAC Systems,Tao Zhou; Kui Xu; Guojie Hu; Xiaochen Xia; Chunguo Li; Chen Wei; Chengjian Liao,2025,IEEE Internet of Things Journal,10.1109/JIOT.2024.3502669,STAR-RIS-enabled secure ISAC for IoE; BS ULA with M; STAR-RIS ULA with N (passive); two scenarios: Type I (CE) and Type II (CSF). [C7],Potential eavesdropping by targets; imperfect CSI (bounded error model); highly coupled non-convex problems. [C8],Jointly optimize BS active beamforming (incl. AN covariance S) and STAR-RIS passive beamforming q_u; Type I senses LoS targets; Type II senses via STAR-RIS reflection. [C9],Type I: maximize robust sum-rate with eavesdropping SINR and waveform-matching constraints; Type II: maximize min beampattern with comm QoS and security constraints. [C10],"AN-aided robust design; compares Ideal ES, Coupled ES, and MS protocols; penalty-based BCD and SCA algorithms. [C11]",,Type I: BS–RIS 30 m; R-RIS–User 25 m; T-RIS–User 15 m; BS–Target 30 m. Type II: BS–RIS 20 m; RIS–User 30 m; RIS–Target 40 m. Rician fading. [C13],Eavesdropping; imperfect CSI bounded errors; Rician fading. [C14],,"Imperfect CSI modeled via bounded errors (ζ_{u,i}, v_k, ϖ_l, ϑ_k). [C16]",,"ISAC with AN: Type I x=Σ w_{u,i} s_{u,i}+x_0; Type II x=Σ w_l s_l+x_0; objectives and constraints as above. [C18]","STAR-RIS passive; M=6 (Type I), M=4 (Type II); N=16 (4×4); BS P_max 10–20 dBm (Type I), 20–30 dBm (Type II); noise −110 dBm. [C19]","Simulation; compares three STAR-RIS protocols and baselines (E-ES, C-RIS, Random). [C20]",Worst-case bounded-CSI robustness; simulation-only; protocol idealizations. [C21],Reference path loss α_0=10^{-3} at d_0=1 m. [C22],"[C7] “STAR-RIS-enabled secure ISAC; two scenarios CE/CSF.” [C8] “Eavesdropping and imperfect CSI with bounded errors.” [C9] “Joint ABF (w,S) and PBF (q_u).” [C10] “Maximize robust sum-rate / min beampattern.” [C11] “Ideal ES, Coupled ES, MS; BCD+SCA.” [C13] “BS–RIS 30/20 m; RIS–Target 40 m.” [C14] “Rician fading; bounded CSI.” [C16] “Error bounds ζ, v, ϖ, ϑ.” [C18] “x=Σ w s + x_0.” [C19] “M=6/4; N=16; P_max ranges; noise −110 dBm.” [C20] “Simulation with baselines.” [C22] “α_0=10^{-3} at 1 m.”","Robust, AN-aided STAR-RIS ISAC under imperfect CSI; CE vs CSF scenarios and protocol comparison.",,,,,,,,,,,,,,,,,,,,,,[C23: p.4/Fig.2]
rec_00575,Power Minimization Beamforming Design for Active RIS-Assisted ISAC System,"Lei Yin, Ming Jin, Yaming Li, Yinhong Liu, Chaodi Chen, Huifang Zhang",2024,2024 16th International Conference on Communication Software and Networks (ICCSN),10.1109/ICCSN63464.2024.10793337,Active-RIS assisted ISAC; BS with Nt=Nr=16; active RIS with M=36 reflecting units; dual-functional BS beamforming matrix W; perceives I point targets.,Imperfect CSI and uncertain radar reflection coefficients; passive RIS multiplicative fading.,Robust joint BS beamforming and active RIS phase-shifting; AO + SDR; Bernstein-Type Inequality to handle chance constraints.,Objective: minimize total power consumption; comm metric: outage probability / rate threshold Γ_k=5 bps/Hz; sensing metric: CRB threshold ε_i=0.5×10^-3 and estimation-failure probability.,Active RIS with amplifiers to overcome double fading; robust design under partial CSI and uncertain reflections.,,"Environment with obstacles; BS (0,0)m; RIS (65,10)m; users uniformly in 10 m radius at (75,0)m; Rician fading.",Imperfect CSI; uncertain radar reflection; Gaussian error model.,,Partial CSI model; joint optimization under uncertainty; BS-target-BS echo-only sensing link.,,ISAC with CRB-based sensing constraint and communication-rate reliability.,Includes RIS amplification power P_RIS; maximum amplification α_max=40 dB; power-minimization objective.,Baselines: Passive RIS / Without RIS / Comm-only.,Assumptions on error distributions (Gaussian) and model parameters.,,"Anchors: [C7],[C8],[C9],[C10],[C11],[C13],[C14],[C16],[C17],[C18],[C19],[C20]",,,,,,,,,,,,,,,,,,,,,,,
