Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Cascaded Path Realized (OPA→RIS),"Reasoning for ""Cascaded Path Realized (OPA→RIS)""",Comparators/Baselines Reported,"Reasoning for ""Comparators/Baselines Reported""","Key Physics Specified (λ, distance, aperture)","Reasoning for ""Key Physics Specified (λ, distance, aperture)""",OPA Present (optical phased array),"Reasoning for ""OPA Present (optical phased array)""",Optical Domain (not RF),"Reasoning for ""Optical Domain (not RF)""",Optical RIS/Metasurface Present,"Reasoning for ""Optical RIS/Metasurface Present""",Free-Space Optical Systems,"Reasoning for ""Free-Space Optical Systems""",ISAC Applications,"Reasoning for ""ISAC Applications""",Non-Line-of-Sight Scenarios,"Reasoning for ""Non-Line-of-Sight Scenarios""",OPA-RIS Cascaded Architecture,"Reasoning for ""OPA-RIS Cascaded Architecture""",Quantitative Performance Metrics,"Reasoning for ""Quantitative Performance Metrics""",Substantial Technical Content,"Reasoning for ""Substantial Technical Content""",Turbulent Channel Conditions,"Reasoning for ""Turbulent Channel Conditions""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Optical Integrated Sensing and Communication System Based on Combination of OIRS and PD Array for Mobile Scenarios,"Haibo Wang, Zaichen Zhang, Yingmeng Ge, Bingcheng Zhu",-,-,IEEE Transactions on Wireless Communications,0,2024,Optical_Integrated_Sensing_and_Communication_System_Based_on_Combination_of_OIRS_and_PD_Array_for_Mobile_Scenarios.pdf,no,"While the paper discusses OIRS and PD array, it does not describe a cascaded configuration between them.",maybe,"The abstract mentions ""system performance"" but does not explicitly state comparisons or baselines.",maybe,"The paper mentions ""short wavelength"" but does not provide specific values for wavelength, distance, or aperture size.",no,"The abstract mentions PD array but not an optical phased array (OPA), which is a critical missing element.",yes,"The paper clearly focuses on optical wireless communication (OWC) with optical signals and OIRS, indicating it is in the optical domain.",yes,"The paper explicitly mentions OIRS (optical intelligent reflecting surface), indicating the presence of an optical RIS/metasurface.",yes,"The paper clearly focuses on optical wireless communication (OWC), indicating it is a free-space optical system.",yes,"The paper explicitly mentions ""integrated sensing and communication system,"" indicating it focuses on ISAC applications.",maybe,The abstract does not explicitly mention non-line-of-sight (NLoS) optical communication scenarios.,no,"The paper discusses OIRS (optical intelligent reflecting surface) and PD array, but does not explicitly mention an optical phased array (OPA). While it's an optical system with intelligent surfaces, it does not clearly indicate a cascaded OPA-RIS configuration.",yes,"The paper mentions channel fading PDF and system performance metrics, though specific metrics are not detailed.",yes,"The paper includes theoretical analysis, channel modeling, and simulations, indicating it has substantial technical content.",no,"While channel fading is mentioned, there is no indication of turbulent channel conditions or atmospheric parameters.",Include,"An optical wireless communication system exploring integrated sensing and communication with optical intelligent reflecting surfaces demonstrates strong potential in free-space optical systems. While the research presents innovative approaches to optical communication, it lacks explicit confirmation of an optical phased array and a cascaded configuration, which are critical screening requirements. The study offers theoretical insights and simulation results but falls short of fully meeting all specified technical criteria.",2.9
"Free Space Optical Integrated Sensing and Communication
Based on LFM and CPM","Yunfeng Wen, Fang Yang, Jian Song, Zhu Han",-,-,,-,2024,Free_Space_Optical_Integrated_Sensing_and_Communication_Based_on_LFM_and_CPM.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,"Yingjun Xia, Jing Zhang, Tingting Guo, Hui Wang, Chen Geng, Yu Zhu, Ruiman Han, Yanqing Yang, Guangkun Song, Xiangjian Wan, Guanghui Li, Yongsheng Chen",-,-,,-,2024,Adv Funct Materials - 2024 - Xia - High%E2%80%90Speed Flexible Near%E2%80%90Infrared Organic Photodetectors for Self%E2%80%90Powered Optical.pdf,no,The paper does not describe a cascaded OPA-RIS configuration.,no,"While the paper mentions performance metrics, it does not provide a clear comparison with baselines.",maybe,The paper specifies the wavelength range (300-1100nm) but does not mention the propagation distance or aperture size.,no,"While optical components are used, there is no mention of optical phased arrays in the paper.",yes,"The paper deals with near-infrared optical systems in the 300-1100nm wavelength range, which is in the optical domain.",no,The paper does not mention the use of RIS or optical metasurfaces.,yes,"The paper discusses wireless optical communication and sensing, which are free-space optical systems.",yes,The paper explicitly focuses on optical ISAC applications.,no,The paper does not mention non-line-of-sight optical communication scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on organic photodetectors for ISAC applications.",yes,The paper reports quantitative performance metrics such as specific detectivity (>10^13 Jones) and cutoff frequency (>1MHz).,yes,"The paper appears to be a detailed experimental study with fabrication and characterization, indicating substantial technical content.",no,The paper does not mention any atmospheric turbulence parameters.,Include,"The research presents an optical ISAC system using near-infrared organic photodetectors, demonstrating technical performance in wireless communication and sensing. However, the study lacks key architectural elements like optical phased arrays and reconfigurable intelligent surfaces, which are critical for advanced optical communication systems. While the work offers quantitative performance metrics and focuses on free-space optical applications, it does not meet the specific screening criteria related to OPA-RIS configurations.",2.5
Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,"Yunfeng Wen, Fang Yang, Jian Song, Zhu Han",-,-,,-,2023,Pulse_Sequence_Sensing_and_Pulse_Position_Modulation_for_Optical_Integrated_Sensing_and_Communication.pdf,no,The paper does not discuss a cascaded configuration of OPA and RIS.,maybe,"The paper mentions ""different optical systems"" and ""multi-user scenario"", but it is not clear if these are used as baselines for comparison.",no,"The paper does not provide specific details on wavelength, propagation distance, or aperture size in the abstract.",no,The paper does not mention the use of an optical phased array. It uses pulse position modulation instead.,yes,"The paper is clearly in the optical domain, as it mentions ""free space optics"" and ""optical spectrum"".",no,The paper does not mention the use of an optical RIS or metasurface.,yes,The paper explicitly focuses on free-space optical communication systems.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,The paper does not mention non-line-of-sight (NLoS) optical communication scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on pulse sequence sensing and modulation.",yes,"The paper mentions that ""different performance metrics"" are derived theoretically, though the specific metrics are not detailed in the abstract.",yes,The paper includes theoretical analysis and simulations with substantial technical content.,no,The paper does not mention any quantified atmospheric turbulence parameters or turbulent channel conditions.,Include,"The research focuses on integrated sensing and communication in free-space optics using pulse sequence modulation, but lacks key elements of optical phased arrays and reconfigurable intelligent surfaces. While demonstrating technical depth in ISAC applications, the study does not meet critical screening criteria related to OPA-RIS cascaded architectures, optical metasurfaces, or specific optical system parameters. The work provides insights into optical communication but diverges from the targeted technical configuration.",2.5
FREE SPACE OPTICAL COMMUNICATIONS FOR INTELLIGENT TRANSPORTATION SYSTEMS Potentials and Challenges,"Fang Yang, Ling Cheng, Jian Song, Zhu Han",-,-,,-,2023,Free_Space_Optical_Communications_for_Intelligent_Transportation_Systems_Potentials_and_Challenges.pdf,no,The abstract does not discuss any cascaded path configuration between OPA and RIS.,maybe,The abstract mentions different approaches (MDM and WDM) but does not clearly indicate any comparative analysis or baselines.,no,"The abstract does not provide any specific information about wavelength, propagation distance, or aperture size.",no,The abstract does not explicitly mention the use of optical phased arrays (OPAs). It discusses general FSO implementation.,yes,"The paper is clearly in the optical domain, discussing free-space optical (FSO) communications.",no,The abstract does not mention the use of optical RIS/metasurface/programmable mirror.,yes,The paper explicitly focuses on free-space optical communication systems.,no,"While the paper discusses V2X communications, there is no explicit mention of integrated sensing and communication (ISAC) applications.",no,The abstract does not mention any non-line-of-sight (NLoS) optical communication scenarios.,no,The abstract does not mention anything about Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). The focus is on general free-space optical (FSO) communications for vehicle-to-everything (V2X) applications.,no,The abstract does not mention any quantitative performance metrics.,maybe,"The paper appears to be a technical article discussing implementation approaches, though the abstract is incomplete.",no,The abstract does not mention any atmospheric turbulence parameters or turbulent channel conditions.,Exclude,"The abstract focuses on free-space optical communications for vehicle-to-everything systems, but lacks specific details about optical phased arrays, reconfigurable intelligent surfaces, or cascaded architectures. While the study addresses optical domain communications, it does not meet the critical screening criteria related to OPA-RIS configurations, performance metrics, or detailed technical specifications. The research appears to be a general overview of FSO implementation rather than a targeted investigation of advanced optical communication technologies.",1.4
"Bidirectional Retroreflective Optical ISAC Using
Time Division Duplexing and Clipped OFDM","Chen Chen, Haochuan Wang, Zhihong Zeng, Harald Haas",-,-,,-,2025,Bidirectional_Retroreflective_Optical_ISAC_Using_Time_Division_Duplexing_and_Clipped_OFDM.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
Integrated Sensing and Communications Over the Years: An Evolution Perspective,"Di Zhang, Yuanhao Cui, Xiaowen Cao, Nanchi Su, Fan Liu, Xiaojun Jing, J Andrew Zhang, Jie Xu, Christos Masouros, Dusit Niyato, Marco Di Renzo",-,-,,-,-,2504.06830v1.pdf,no,The abstract does not discuss cascaded paths or OPA→RIS configurations.,no,"While the paper discusses different approaches, it's at a high level and not specific to the technical comparisons we're looking for.",no,"The abstract does not provide any specific physical parameters (wavelength, distance, aperture).",no,The abstract does not mention optical phased arrays.,maybe,"While the abstract mentions ""optical ISAC,"" it appears to be discussing both RF and optical domains broadly, not specifically focusing on optical implementations.",no,The abstract does not mention optical RIS or metasurfaces.,no,"While optical systems are mentioned, there's no specific focus on free-space optical communication.",yes,The paper's primary focus is on ISAC applications and their evolution.,no,Non-line-of-sight scenarios are not mentioned in the abstract.,no,"The abstract does not mention OPAs or RIS in cascaded configuration, so it does not investigate this specific architecture.",no,The abstract does not mention any specific quantitative performance metrics.,yes,The paper appears to be a comprehensive survey with substantial technical content.,no,Turbulent channel conditions are not mentioned in the abstract.,Include,"This survey paper on Integrated Sensing and Communications (ISAC) broadly discusses spectrum utilization across RF and optical domains, but lacks specific technical details about optical phased arrays, reconfigurable intelligent surfaces, or cascaded architectures. While the work provides a comprehensive overview of ISAC evolution, it does not meet the detailed technical screening criteria focused on optical system implementations and performance metrics.",2.5
Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,"Haochuan Wang, Binbin Zhu, Zhihong Zeng, Sihua Shao, Chen Chen, Min Liu",-,-,,-,-,Retroreflective_Optical_ISAC_Supporting_3D_Positioning_in_Indoor_Environments.pdf,no,No cascaded configuration is described in the abstract.,no,No comparisons or baselines are mentioned in the abstract.,no,"The abstract does not provide wavelength, distance, or aperture information.",no,There is no mention of optical phased arrays in the abstract.,maybe,"While the system is optical, there is no specific mention of wavelength or optical components, so it is unclear if the work is in the optical regime and uses optical metasurfaces/SLMs.",no,There is no mention of RIS or metasurfaces in the abstract.,maybe,"While the system is optical, it is not clear if it is free-space or fiber-based.",yes,The abstract explicitly mentions ISAC (RO-ISAC) and includes both sensing (positioning) and communication.,no,There is no mention of non-line-of-sight scenarios in the abstract.,no,"The abstract does not mention OPAs or RIS, and only discusses a retroreflective system, so there is no evidence that this study investigates OPAs in a cascaded configuration with RIS.",no,No specific performance metrics are mentioned in the abstract.,maybe,"The abstract suggests this is a technical proposal, but there is insufficient detail to confirm the depth of analysis.",no,There is no mention of atmospheric conditions or turbulence in the abstract.,Exclude,"The proposed retroreflective optical ISAC system lacks critical details about optical phased arrays, reconfigurable intelligent surfaces, and key technical specifications required by the screening criteria. While the study addresses integrated sensing and communication, it fails to demonstrate the complex architectural and performance characteristics needed for comprehensive evaluation. The abstract provides insufficient information to confirm alignment with most of the specified technical requirements.",1.4
Opportunistic Reuse of Spatial-Temporal Resources in Multi-User ISAC Systems for Value of Service Maximization,"Biwei Li, Xianbin Wang",-,-,,-,-,Opportunistic_Reuse_of_Spatial-Temporal_Resources_in_Multi-User_ISAC_Systems_for_Value_of_Service_Maximization.pdf,no,The paper does not discuss any optical cascaded paths.,yes,The paper does mention that the results are compared with other benchmarks.,no,"The paper does not provide any information about wavelength, propagation distance, or aperture sizes.",no,The paper does not mention the use of an optical phased array.,no,"The paper is not in the optical regime, as it discusses radio resources and base stations, suggesting it is in the RF domain rather than the optical domain.",no,The paper does not mention the use of an optical RIS or metasurface.,no,The paper does not focus on free-space optical communication systems or atmospheric optical links.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,The paper does not examine non-line-of-sight (NLoS) optical communication scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on radio resource allocation and ISAC in general.",no,"While the paper discusses ""resource utilization efficiency,"" it does not specifically mention the required quantitative performance metrics.",yes,"The paper appears to be a technical paper with analytical solutions and numerical simulations, indicating substantial technical content.",no,The paper does not discuss any turbulent optical channels or provide quantified atmospheric turbulence parameters.,Exclude,"The research paper focuses on radio resource allocation and integrated sensing and communication (ISAC) in wireless networks, fundamentally diverging from the screening criteria's emphasis on optical systems, optical phased arrays, and reconfigurable intelligent surfaces. Despite addressing ISAC and demonstrating technical depth, the study lacks critical elements such as optical domain analysis, wavelength specifications, and free-space optical system considerations. Consequently, the paper does not meet the majority of the specified screening requirements for optical system research.",0.1
Joint Beamforming and UAV Trajectory Optimization for Covert Communications in ISAC Networks,"Dan Deng, Wen Zhou, Xingwang Li, Daniel Benevides, Derri Costa, Kwan Wing, Arumugam Ng,  Nallanathan, Derrick Wing, Kwan Ng, Arumugam Nallanathan",-,-,,-,2025,Joint_Beamforming_and_UAV_Trajectory_Optimization_for_Covert_Communications_in_ISAC_Networks.pdf,no,No cascaded OPA-RIS configuration is mentioned in the abstract.,maybe,"The abstract mentions optimization against ""worst-case scenario"" but doesn't explicitly describe baselines.",no,"While the abstract mentions some parameters (transmit power, flight speed), it doesn't specify wavelength or specific aperture sizes.",no,There is no mention of optical phased arrays in the abstract.,no,"The abstract does not specify the frequency domain or mention optical components, and appears to be a general communication/sensing system.",no,There is no mention of optical RIS or metasurfaces in the abstract.,no,"While the system involves UAVs, it's not explicitly stated whether it's optical or RF.",yes,"The paper explicitly focuses on ""integrated sensing and communications networks.""",no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The abstract does not mention optical phased arrays or RIS, and instead focuses on UAV-based beamforming and sensing.",yes,"The abstract mentions ""achievable covert rate (ACR)"" and ""detection error probability"" as metrics.",yes,This appears to be a technical paper with optimization analysis and mathematical modeling.,no,There is no mention of atmospheric conditions or turbulence parameters in the abstract.,Exclude,"The abstract describes a UAV-based integrated sensing and communication system focused on beamforming optimization, but lacks specific optical domain characteristics, optical phased arrays, or reconfigurable intelligent surfaces. While demonstrating technical depth in communication systems, the work does not meet the critical screening criteria related to optical technologies, wavelength specifications, or optical metasurface configurations.",1.4
Progress in Luminescent Materials Based on Europium(III) Complexes of β-Diketones and Organic Carboxylic Acids,"Giuseppe Cavallaro, Claudia Dragonetti, Athanassios C Tsipis, Carla Bazzicalupi, Qianting Chen, Jie Zhang, Quanfeng Ye, Shanqi Qin, Lingyi Li, Mingyu Teng, Wai-Yeung Wong",-,-,,-,2025,molecules-30-01342-v3.pdf,no,No cascaded architecture is mentioned or proposed in the paper.,no,"The paper appears to be a review of different complexes, but not in the context of comparing optical communication systems.",no,"While wavelength ranges are mentioned (visible and near-infrared), there is no discussion of propagation distances or array sizes.",no,"The paper does not mention optical phased arrays. It discusses fluorescent materials and their applications, but not in the context of optical phased arrays.",no,"While the paper discusses optical materials and fluorescence, it is not in the context of optical metasurfaces or free-space optical communication systems.",no,The paper does not discuss optical RIS or programmable mirrors.,no,The paper does not discuss free-space optical communication systems. The focus is on materials for OLEDs and other applications.,no,The paper does not mention integrated sensing and communication applications.,no,Non-line-of-sight optical communication scenarios are not discussed in the abstract.,no,"The paper does not investigate optical phased arrays (OPAs) in cascaded configuration with reconfigurable intelligent surfaces (RIS). It focuses on europium complexes for OLEDs and other applications, which are unrelated to the specified architecture.",no,"The metrics mentioned (quantum yield, fluorescence lifetime) are not related to optical communication performance metrics.",no,"While this appears to be a technical review paper, it is focused on material science rather than optical communication systems.",no,The paper does not mention atmospheric conditions or turbulence parameters.,Exclude,"The abstract describes europium complexes for OLED applications, completely missing all screening criteria related to optical phased arrays, reconfigurable intelligent surfaces, and free-space optical communication systems. No technical elements align with the specified research focus, rendering the paper irrelevant to the systematic review's requirements. The manuscript is fundamentally a materials science review unrelated to the targeted optical communication research domain.",0.1
Realization of RF Signal over Bidirectional Optical Wireless Communication Links,"Runxin Zhang, Yuheng Zhang, Menghan Li, Qikai Liu, Lu Lu",-,-,,-,-,Realization_of_RF_Signal_over_Bidirectional_Optical_Wireless_Communication_Links.pdf,no,The system is a direct VLC link without any cascaded architecture.,yes,The study compares against state-of-the-art offline single-directional WiFi-over-VLC systems.,maybe,"While the abstract mentions data rates (720 Mbps), it doesn't specify wavelength or propagation distances.",no,No optical phased array is mentioned or used. The system uses simple LED-PIN transceivers.,yes,The work is in the optical regime using LEDs and PIN diodes for visible light communication.,no,No programmable optical surface or metasurface is mentioned.,yes,The system uses free-space optical communication.,no,"The paper focuses on communication only, with no sensing applications mentioned.",no,The abstract doesn't mention NLoS scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on Visible Light Communications (VLC) using LED-PIN transceivers.",yes,Data rates are reported (720 Mbps).,yes,This is an experimental study with prototype implementation and performance evaluation.,no,No mention of atmospheric turbulence parameters.,Exclude,"The study focuses on visible light communication using LED-PIN transceivers, which fundamentally lacks the key architectural elements of optical phased arrays and reconfigurable intelligent surfaces. While demonstrating substantial technical content in free-space optical communication, the research does not meet critical screening criteria related to OPA-RIS cascaded configurations, optical metasurfaces, or integrated sensing and communication applications.",1.4
PAM Waveform Design for Joint Communication and Sensing Based on Visible Light,"Jinliang Wang, Nuo Huang, Chen Gong, Wei Wang, Xu Li",-,-,,-,2024,PAM_Waveform_Design_for_Joint_Communication_and_Sensing_Based_on_Visible_Light.pdf,no,No cascaded path is mentioned or implied in the paper.,yes,The study compares different PAM orders and distances.,maybe,"The distance is specified (1m and 7m), but the wavelength is not explicitly mentioned.",no,The system appears to use simple visible light transmission and does not mention the use of an optical phased array.,yes,The study is in the optical domain using visible light.,no,The paper does not mention the use of an optical RIS or metasurface.,yes,The paper appears to focus on free-space optical communication.,yes,The paper explicitly focuses on joint communication and sensing (JCAS) applications.,yes,"The paper mentions ""diffuse reflections"", suggesting the study of non-line-of-sight (NLoS) optical communication scenarios.",no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on visible light communication and sensing using PAM signals.",yes,"The paper includes quantitative performance metrics such as symbol error rate, transmission rate, miss detection probability, and KL divergence.",yes,"The paper includes both numerical and experimental results with detailed analysis, indicating substantial technical content.",no,The paper does not mention any atmospheric turbulence parameters.,Exclude,"The study focuses on visible light communication and sensing using PAM signals, demonstrating strong technical content in free-space optical systems with ISAC applications. However, it fundamentally lacks the core requirements of OPA-RIS cascaded architecture, optical phased arrays, and reconfigurable intelligent surfaces. While the research provides quantitative performance metrics and explores non-line-of-sight scenarios, it does not align with the specific technological focus of the screening criteria.",1.4
Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,"Yunfeng Wen, Fang Yang, Jian Song, Zhu Han",-,-,,-,-,Power_Allocation_for_OFDM-Based_Free_Space_Optical_Integrated_Sensing_and_Communication.pdf,no,No cascaded path is mentioned or implied.,maybe,"The abstract mentions comparing trade-offs between communication and sensing functionalities, but doesn't explicitly state baselines.",no,"The abstract does not provide specific wavelengths, distances, or aperture sizes.",no,No mention of optical phased arrays. The system appears to be a general FSO system without specific mention of OPA components.,yes,"The paper is clearly in the optical domain, discussing free-space optical (FSO) systems.",no,No mention of RIS or optical metasurfaces.,yes,The paper explicitly focuses on free-space optical (FSO) systems.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,No mention of NLoS scenarios.,no,The abstract does not mention optical phased arrays or RIS in a cascaded configuration. It focuses on OFDM-based FSO systems.,yes,"The paper discusses spectral efficiency, Fisher information, and SNR as performance metrics.",yes,This appears to be a technical paper with theoretical analysis and numerical simulations.,no,No mention of atmospheric turbulence parameters.,Include,"The study focuses on free-space optical integrated sensing and communication systems using OFDM, demonstrating substantial technical content with quantitative performance metrics. However, it lacks critical elements such as optical phased arrays, reconfigurable intelligent surfaces, and cascaded architectures, which are key screening requirements. While the research addresses optical domain and ISAC applications, it does not meet the specific architectural and technical specifications sought in the screening criteria.",2.5
"Full-Duplex RO-ISAC System: Wavelength Division
Duplexing and Hybrid Waveform Design",-,-,-,,-,-,Full-Duplex_RO-ISAC_System_Wavelength_Division_Duplexing_and_Hybrid_Waveform_Design.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
LiRF: Light-Based Wireless Communications Supporting Ubiquitous Radio Frequency Signals,"Runxin Zhang, Menghan Li, Yuheng Zhang, Jian Xiong, Lu Lu",-,-,,-,-,LiRF_Light-Based_Wireless_Communications_Supporting_Ubiquitous_Radio_Frequency_Signals.pdf,no,The system is not a cascaded OPA-RIS configuration but rather a direct VLC-RF conversion system.,yes,The paper compares different transceiver configurations (SLD-PIN vs LED-PIN).,maybe,"While some parameters are mentioned (200/180 MHz bandwidth), wavelength and propagation distance are not specified.",no,No optical phased array is mentioned or used in the system. The system uses LEDs and PIN diodes for simple transmission.,maybe,"The paper uses optical components like LEDs and SLD-PIN, but it is primarily focused on converting RF signals to optical for transmission, rather than true optical communication.",no,No programmable optical surface or metasurface is mentioned in the paper.,yes,The system uses free-space optical communication.,no,"The paper focuses on communication only, with no sensing component.",no,Non-line-of-sight scenarios are not mentioned or studied.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on VLC and RF integration without mentioning OPA-RIS architectures.",yes,"The paper reports data rates (750 Mbps, 600 Mbps) and mentions TCP/IP performance.",yes,This is an experimental study with prototype implementation and performance evaluation.,no,There is no mention of atmospheric turbulence or channel conditions.,Exclude,"The research presents a visible light communication system for IoT devices, focusing on RF signal transmission through optical means, but lacks key elements like optical phased arrays, reconfigurable intelligent surfaces, and cascaded architectures. While demonstrating technical merit in free-space optical communication with quantitative performance metrics, the study does not align with the specific screening criteria related to OPA-RIS configurations and advanced optical communication techniques.",1.4
Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,"Muhammad Nafees, Mohammadamin Baniasadi, James R Hopgood, Majid Safari, John S Thompson",-,-,,-,-,Integrated_Sensing_and_Communication_for_UAV_Trajectory_Optimization_in_Mixed_FSO-RF_Networks_in_Dynamic_Weather_Conditions.pdf,no,"While there is optical communication, it is not in a cascaded OPA→RIS configuration.",yes,The paper implies comparison of performance under different weather conditions and optimization scenarios.,maybe,The paper mentions visibility data but does not explicitly state wavelength or specific aperture sizes in the abstract.,no,"While optical communication is discussed, there is no mention of optical phased arrays.",yes,"The paper clearly focuses on free-space optical (FSO) communication in the optical regime, not RF/mmWave.",no,There is no mention of optical RIS or metasurfaces in the paper.,yes,The paper explicitly focuses on FSO communication systems.,yes,The paper specifically focuses on optical ISAC (O-ISAC) applications.,no,There is no explicit mention of non-line-of-sight (NLoS) scenarios in the paper.,no,The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). There is no explicit mention of OPAs or RIS in a cascaded configuration.,yes,The paper mentions network throughput and channel gain measurements as quantitative performance metrics.,yes,The paper appears to be a detailed technical analysis with numerical results and real-world data.,maybe,The paper mentions weather conditions and visibility data but does not specify turbulence parameters.,Include,"The research focuses on optical integrated sensing and communication (ISAC) using free-space optical communication with UAVs, demonstrating strong technical content in optical domain applications. However, the study lacks critical elements of optical phased arrays, reconfigurable intelligent surfaces, and cascaded architectures, which are key screening requirements. While the paper provides valuable insights into optical communication systems, it does not meet the specific technical criteria related to OPA-RIS configurations.",2.5
Implementation of Reconfigurable 149Mbps TDC-Based PPM Transceiver,"Pauls Eriks Sics, Nikolajs Tihomorskis, Sandis Migla, Jakovs Ratners, Viktors Kurtenoks, Arturs Aboltins",-,-,,-,-,Implementation_of_Reconfigurable_149Mbps_TDC-Based_PPM_Transceiver.pdf,no,The abstract does not discuss any cascaded optical paths or the use of an OPA output being steered to a RIS.,maybe,"The abstract mentions laboratory testing, but does not explicitly compare the results against any baselines.",no,"While the abstract mentions timing parameters, it does not specify optical wavelengths or propagation distances.",no,There is no mention of an optical phased array being used or modeled in the study.,no,"The paper does not explicitly discuss optical wavelengths or optical components, and instead appears to focus on digital signal processing.",no,The abstract does not mention any optical metasurfaces or programmable mirrors.,no,The abstract does not mention any free-space optical communication systems or atmospheric optical links.,no,The abstract does not discuss any integrated sensing and communication (ISAC) applications.,no,The abstract does not examine any non-line-of-sight (NLoS) optical communication scenarios.,no,The abstract does not mention anything about optical phased arrays (OPAs) or reconfigurable intelligent surfaces (RIS) in a cascaded configuration.,maybe,"The abstract mentions a bitrate of 149 Mbps, but does not discuss any optical-specific performance metrics like SNR or BER.",yes,"The paper appears to be a technical implementation study with hardware prototype testing, indicating substantial technical content.",no,The abstract does not mention any turbulent optical channels or quantified atmospheric turbulence parameters.,Exclude,"The research focuses on pulse position modulation and digital signal processing using software-defined radio techniques, with no evidence of optical phased arrays, reconfigurable intelligent surfaces, or free-space optical systems. Critical screening criteria related to optical domains, OPA-RIS architectures, and optical communication parameters are not met, indicating the study falls outside the targeted research scope. The technical content, while substantial, does not align with the systematic review's optical system requirements.",0.1
"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges","Yunfeng Wen, Fang Yang, Jian Song, Zhu Han",-,-,,-,2024,2312.13640v2.pdf,no,The abstract does not discuss cascaded paths.,maybe,"The abstract mentions comparing O-ISAC with RF ISAC, but does not detail specific baselines.",no,"The abstract does not provide specific wavelengths, distances, or aperture sizes.",no,The abstract does not mention optical phased arrays.,yes,The paper is clearly focused on the optical domain (free space optical communication) rather than RF.,no,There is no mention of RIS or metasurfaces in the abstract.,yes,The paper explicitly focuses on free-space optical communication.,yes,The primary focus of the paper is on O-ISAC.,no,Non-line-of-sight scenarios are not mentioned in the abstract.,no,"The abstract does not mention OPAs or RIS specifically, and there is no indication of a cascaded architecture.",maybe,"While the abstract mentions ""increasing communication rate"" and ""enhancing sensing precision,"" it does not explicitly state specific metrics.",yes,"The paper appears to be a technical review/analysis discussing system structure, advantages, and waveform design.",no,The abstract does not mention any atmospheric turbulence parameters.,Include,"The abstract focuses on optical Integrated Sensing and Communication (O-ISAC) systems, demonstrating strong alignment with free-space optical communication and ISAC applications. However, it lacks specific details about optical phased arrays, reconfigurable intelligent surfaces, and cascaded architectures, which are critical screening requirements. While technically substantive, the paper does not meet several key technical criteria related to OPA-RIS configurations.",2.5
